"","publisher","journal","role","editor","affiliation","url","date"
"101","SCIRP","Advances in Biological Chemistry","Editorial Board","Havard Jenssen","Roskilde University, Denmark","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"102","SCIRP","Advances in Biological Chemistry","Editorial Board","Alexander A. Konstantinov","Moscow State University, Russia","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"103","SCIRP","Advances in Biological Chemistry","Editorial Board","Shinichiro Kurosawa","Boston University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"104","SCIRP","Advances in Biological Chemistry","Editorial Board","David X. Liu","Pennsylvania State University College of Medicine, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"105","SCIRP","Advances in Biological Chemistry","Editorial Board","Zixian Lu","Academy of State Adinistration of Grain, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"106","SCIRP","Advances in Biological Chemistry","Editorial Board","Peizhong Mao","Oregon Health & Science University (OHSU), USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"107","SCIRP","Advances in Biological Chemistry","Editorial Board","Monalisa Mukherjea","University of Pennsylvania, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"108","SCIRP","Advances in Biological Chemistry","Editorial Board","Ali B. Naini","Columbia University Medical Center, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"109","SCIRP","Advances in Biological Chemistry","Editorial Board","Moreno-Sánchez Rafael","Instituto Nacional de Cardiologia, Mexico","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"110","SCIRP","Advances in Biological Chemistry","Editorial Board","Pogaku Ravindra","University Malaysia Sabah, Malaysia","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"111","SCIRP","Advances in Biological Chemistry","Editorial Board","David J. Riese II","Auburn University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"112","SCIRP","Advances in Biological Chemistry","Editorial Board","Arun Seth","Sunnybrook Health Sciences Centre, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"113","SCIRP","Advances in Biological Chemistry","Editorial Board","Mohammad Shahnawaz","University of Texas Health Science Center at Houston, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"114","SCIRP","Advances in Biological Chemistry","Editorial Board","Akira Sugawara","Tohoku University Graduate School of Medicine, Japan","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"115","SCIRP","Advances in Biological Chemistry","Editorial Board","Pietro Volpe","University of Rome “Tor Vergata”, Italy","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"116","SCIRP","Advances in Biological Chemistry","Editorial Board","Ling Shing Wong","INTI International University, Malaysia","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"117","SCIRP","Advances in Biological Chemistry","Editorial Board","Deyu Xie","North Carolina State University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"118","SCIRP","Advances in Biological Chemistry","Editorial Board","Tong Zhang","The University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"119","SCIRP","Advances in Bioscience and Biotechnology","Editor-in-Chief","Abass Alavi","University of Pennsylvania, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"120","SCIRP","Advances in Bioscience and Biotechnology","Executive Editor-in-Chief","Roberto Fernández-Lafuente","Consejo Superior de Investigaciones Científicas, Spain","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"121","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Suleyman I. Allakhverdiev","Russian Academy of Sciences, Russia","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
