publisher	issn	journal	role	editor	affiliation	orcid	url	date
PeerJ	2167-8359	PeerJ	Academic Editors	Punyasloke Bhadury	Indian Institute of Science Education and Research Kolkata	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Fabrizio Bianchi	Fondazione IRCCS Casa Sollievo della Sofferenza	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Maria del Mar Bibiloni Esteva	Institute of Health Carlos III (CIBERobn, Pathophysiology of Obesity and Nutrition)	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Rüdiger Bieler	Field Museum of Natural History, Chicago	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Dorothee Bienzle	University of Guelph	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mark D. Biggin	Lawrence Berkeley National Laboratory	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Cristina Bilbao-Sainz	US Department of Agriculture-Agricultural Research Service	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Trine Bilde	Aarhus University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kate N Bishop	The Francis Crick Institute	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kimberly A Bishop-Lilly	Naval Medical Research Center, Biological Defense Research Directorate	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ton Bisseling	Wageningen University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kevin J. Black	Washington University in St. Louis	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Kerstin G Blank	Max Planck Institute of Colloids and Interfaces	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Julian Blasco	Institute of Marine Marine Sciences (CSIC)	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ariel J Blocker	Sanofi R&D	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Nicoletta Bobola	University of Manchester	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	P. Dee Boersma	University of Washington	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Dario Boffelli	Childrens' Hospital Oakland Research Institute	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Steven J Bograd	NOAA Southwest Fisheries Science Center	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Alexander Bolshoy	Palacký University Olomouc	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Jason E Bond	University of California, Davis	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Dario T Bonetta	Ontario Tech University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Stefanos Bonovas	Humanitas University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Glen M Borchert	University of South Alabama	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Giovanna Bosica	University of Malta	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Bettina Böttcher	Bayerische Julius-Maximilians-Universität Würzburg	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Tom Bourne	Imperial College London	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Dawn Bowles	Duke University School of Medicine	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mark Boyes	Curtin University of Technology	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Erika M Braga	Universidade Federal de Minas Gerais	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Ebba Brakenhielm	INSERM	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Paolo Brambilla	University of Milan	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Susanne M. Brander	Oregon State University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Laura A Brannelly	University of Melbourne	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Edward L Braun	University of Florida	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mario Brauns	Helmholtz Centre for Environmental Research - UFZ	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Miriam Braunstein	University of North Carolina Chapel Hill	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	William J Brazelton	University of Utah	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Mya Breitbart	University of South Florida	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Björn Brembs	Universität Regensburg	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Caroline Brennan	Queen Mary University of London	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
PeerJ	2167-8359	PeerJ	Academic Editors	Fiona S. Brinkman	Simon Fraser University	NA	https://peerj.com/academic-boards/editors/peerj/	2022-02-15
