publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Hermelinda Cordeiro Pedrosa	Hospital Regional de Taguatinga, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Rosângela Roginsky Rea	Universidade Federal do Paraná, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Joao Roberto de Sa	Universidade Federal de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Alessandra Vecchié	"c(""Pauley Heart Center,"", ""Virginia Commonwealth University, USA"")"	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Roberto Luiz Zagury	"c(""Hospital Federal da Lagoa, Instituto Estadual de Diabetes e Endocrinologia Luiz Capriglione and Laboratorio de Performance Humana,"", "" Brazil"")"	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Lenita Zajdenverg	Universidade Federal do Rio de Janeiro, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Eryun Zhang, 	"c(""Beckman Research Institute of"", ""City of Hope National Medical Center, USA"")"	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Daniel Giannella Neto	Uninove, Brazil (in memoriam)	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Marilia de Brito Gomes	Universidade Estadual do Rio de Janeiro, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Anil V Parwani	Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Nicole Andeen	Oregon Health &amp; Science University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Vincenzo Canzonieri	CROAviano Cancer Center, Italy	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Jessica L Davis, 	Oregon Health &amp; Science University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Krisztina Z. Hanley	, Emory University Hospital, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Dipti Karamchandani	Penn State Milton S. Hershey Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Uma Krishnamurti	Emory School of Medicine, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Zaibo Li	Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Irene Lorand-Metze	State University of Campinas, Brazil	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Konradin Metze	State University of Campinas, Brazil	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Paari Murugan	University of Minnesota, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Jose Otero	Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
