publisher	journal	issn	role	editor	affiliation	url	date
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Jean Marc Clacens	IC2MP (Institute of Material and Environment Chemistry of Poitiers), UMR 7285 CNRS-Université de Poitiers, “Catalysis and Non Conventional Media” Group 4, rue Michel Brunet, TSA 51106, 86073 Poitiers CEDEX 9, France	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Michael Claeys	Department of Chemical Engineering Building No 54, Cnr Ring Road and South Lane Upper Campus, University of Cape Town Private Bag X3, Rondebosch, South Africa	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Agatha Bastida Codina	CSIC, Instituto de Química Orgánica General, IQOG, C/ Juan de la Cierva 3, E-28006 Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Silvia Colella	CNR-NANOTEC Institute of Nanotechnology, National Research Council, 70126 Bari, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Simona M. Coman	Department of Organic Chemistry, Biochemistry and Catalysis, Faculty of Chemistry, University of Bucharest, Bdul Regina Elisabeta 4-12, 030016 Bucharest, Romania	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Dr. Roberto Comparelli	NR-Istituto per i Processi chimico Fisici (CNR-IPCF), SS Bari, Via Orabona 4, 70126 Bari, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. José Carlos Conesa	Instituto de Catálisis y Petroleoquímica, CSIC, Marie Curie 2, Campus de Cantoblanco, 28049, Madrid, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Armando Córdova	1. Department of Organic Chemistry, Arrhenius Laboratory, Stockholm University, 106 91 Stockholm, Sweden	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Fernando P. Cossío	Department of Organic Chemistry I, University of the Basque Country (UPV/EHU), San Sebastián/Donostia, Spain	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
MDPI	Catalysts	2073-4344	Editorial Board Members	 Prof. Dr. Aniello Costantini	Department of Chemical, Materials and Production Engineering, University of Naples Federico II, Fuorigrotta, 80125 Naples, Italy	https://www.mdpi.com/journal/catalysts/editors	2022-01-13
